id,name,address,latitude,longitude,review_count,rating,zip_code
O1fUmxt3kbV-rnyjBtzAfw,THEP Thai Restaurant,1439 2nd Ave,40.77078,-73.95727,2505,4.5,10021
B3_K2kUVbYOU0VaLcj_LTw,Thai Villa,5 E 19th St,40.73902,-73.99065,4529,4.5,10003
NN3mOWF5e_pnR1ArqM2bHQ,OBAO,647 9th Ave,40.7606544,-73.991332,3789,4.0,10036
-OixbLnFLCzQclxCSbUQ8w,Up Thai,1411 2nd Ave,40.7698275926665,-73.9576330868512,2869,4.5,10021
jjJc_CrkB2HodEinB6cWww,LoveMama,174 2nd Ave,40.730408722512074,-73.98612673033213,6356,4.5,10003
MhceeLrM2_3mcKw5EGLY6A,Pure Thai Cookhouse,766 9th Ave,40.764291,-73.988159,2792,4.0,10019
AHrU1F123QPdVPTCnsy_xA,Chalong,749 9th Ave,40.763924,-73.988883,50,5.0,10019
KHdYPT0jUnUGdHGaY73mxg,Sukhumvit 51,224 E 51st St,40.7559139831703,-73.9693867939228,819,4.0,10022
dl4QvM8WAzATC7ChNIQh3g,Thank You Come Again,601 Lexington Ave,40.75878,-73.97048,10,4.0,10022
dpo_TBvuRi2nEzuVdO4AiQ,Mitr Thai,37 W 46th St,40.75688959835714,-73.9804147,132,4.5,10036
VoAuIReq_cPUrFwxbWqG_Q,Sala Thai Restaurant,307 Amsterdam Ave,40.7801199,-73.98032,720,4.5,10023
-XYp6w50XbZfS90YddS5ew,Soothr,204 E 13th St,40.732259,-73.987363,912,4.5,10003
-Q8MYIWoE4EsGQtudIOY0w,Bua Thai Ramen & Robata Grill,1611 2nd Ave,40.7763615,-73.95308,1983,4.5,10028
UC3n_0vZ5zI1fvi7UzNZAg,Sabai Thai,432 Park Ave S,40.74422,-73.98365,429,4.5,10016
7xe5Pd4fvN2vo05FP2XOeg,LumLum ,404 W 49th,40.7629,-73.98991,219,4.5,10019
egDEaHpDumYHzRUZ8JBU-w,Pranakhon Thai Restaurant,88 University Pl,40.733804,-73.993167,101,4.5,10003
0IFDnYf3bhqxJR6hVrG7Gw,Top Thai Vintage,55 Carmine St,40.729907419973344,-74.00421380395268,864,4.5,10014
z1OgXX3L9Ipl2mu-Hf4ADw,ViV,717 9th Ave,40.76277,-73.98969,1208,4.0,10019
_Ge2eC89Z-jlaDDWglfT8g,Pa Pa Thai Cuisine,1069 1st Ave,40.759290482678686,-73.9624154842934,284,4.5,10022
rKeLuHDI3PQZsPSVCEMHtw,Wondee Siam,792 9th Ave,40.76495,-73.98747,1140,4.0,10019
83BXSwE0166sObnXLUE4bQ,Land,450 Amsterdam Ave,40.78497,-73.9772182,1119,4.0,10024
I8lfxFF6ZfwAYbWBIwRSsA,The Thonglor New York,789 9th Ave,40.76516,-73.98795,116,4.5,10019
XgiG7K7ubHsj2JJ-c2sXnw,Thai Diner,186 Mott St,40.72071042964739,-73.9956057,587,4.0,10012
kZ5q8Uwxt3MpLcvxEdPeFg,Marwin Thai Restaurant,1132 1st Ave,40.76158,-73.96032,74,4.5,10065
AILf_L7I9vJ2pyHmSo9v8Q,OBAO,222 E 53rd St,40.75713,-73.96857,1109,3.5,10022
f4ZveYR7fuBp_9klL8OgYQ,Little Thai Kitchen,231 E 53rd St,40.757359,-73.968025,395,3.5,10022
bivrss06gT7E37A0RnnkTw,Bangrak - Thai Restaurant,1750 2nd Ave,40.78116,-73.94913,25,5.0,10128
f7jZvRH-h76F4emzvKytaQ,Tuk Tuk,4906 Vernon Blvd,40.743232,-73.954254,758,4.0,11101
WJS06XxRdc6DD1s4LWE9HA,Fish Cheeks,55 Bond St,40.7258,-73.9927,1231,4.5,10012
a-Bq_yXFVk2PptoWpmry3w,Pye Boat Noodle,35-13 Broadway,40.76043,-73.92152,975,4.5,11106
X3T2rK-GrEgVUai-MeXAzg,Thongyib Thai Cart,405 Park Ave,40.7598555582005,-73.9723258723791,21,4.5,10022
HuUiXwo2rVKHZDwMeqNfQQ,Malii Gramercy,391 2nd Ave,40.73767,-73.98128,110,4.5,10010
oyxk3hv9F7dGZGARmNDSYg,Zoob Zib Thai Authentic Noodle Bar,460 9th Ave,40.75438,-73.99536,429,4.0,10018
HnTcWZbZJzNAYO8YseQlSQ,Zabb PuTawn,1584 First Av,40.77446,-73.95077,295,4.5,10028
CDa0GJZDMPcjvhbx7RbG5Q,Senn Thai Comfort Food,452 Amsterdam Ave,40.7849945637664,-73.9770103128512,330,4.0,10024
L2ZW-MdvRJ3gM2RIq8STbA,Thai72,128 W 72nd St,40.77763,-73.98003,357,4.0,10023
TMmiudSEF1PIXb8usY5c0Q,Valla Table,641 10th Ave,40.7619,-73.994186,202,4.5,10036
qrydcGQpeDP_1oFvx3qOeg,Somtum Der,85 Ave A,40.7252151982238,-73.9842741682317,869,4.0,10009
_ucIHYqW0ZwAdzaEIYnnsA,One Two Thai,153 E 33 St 10016,40.745573,-73.979451,180,4.5,10016
wGFSTTB6b4MHJJUzBnVJeg,Top Thai Greenwich,235 Sullivan St,40.729771,-73.999392,1825,4.5,10012
3X6S6u_AtjumPPSu_-PDiw,Siam Thai,157-02 Northern Blvd,40.763597,-73.808092,171,4.5,11354
coQAQmIKG9dBPA6-RHqJag,Wan Waan,200 8th Ave,40.74346,-73.99947,167,4.0,10011
n7LORZ0fGxPhOfdlHYREKQ,Peak Thai Restaurant,301 E 49th St,40.75417519999969,-73.96850174724293,216,3.5,10017
eGIY_25KFspf8KefDQMj-Q,Lan Larb,637 2nd Ave,40.745373,-73.975807,346,4.0,10016
BF6pY829iPBERt15CG1g3w,At Nine Restaurant & Bar,592 9th Ave,40.758697,-73.992064,595,4.0,10036
5-cv4xv4IBao7N1LSH6tHA,Der Krung Thai Cuisine,860 9th Ave,40.7670715,-73.9861371779099,275,4.0,10019
A_GbgtUSyGWpihHZOqMdwQ,Little Basil,153 E 26th St,40.741014,-73.982259,555,4.0,10010
QCpJlezYJnkZYNat-XYXYw,Topaz Thai Authentic,127 W 56th St,40.7644157409668,-73.9789047241211,888,3.5,10019
oWBDdSamOzxMJzsD_-seXg,Noodies,830 9th Ave,40.7662850538302,-73.9866788007826,565,4.0,10019
liZmIO0FqZwslLJfLDkfgw,Wayla,100 Forsyth St,40.7183,-73.9926038,580,4.5,10002
YS8pw7sYOBqaW23FCOqecg,Glur Thai,144 W 19th St,40.74121,-73.99665,271,4.5,10011
gEaZtaUQyGsp-O4AVcJWeg,Mama’s Cupboard,235 E 53rd St,40.757323,-73.967928,96,4.5,10022
6F7qKaZaAR9ukgvR0NKTBg,Zaab Zaab,76-04 Woodside Ave,40.74319,-73.8886,83,4.0,11373
_c0MxccsmIBZcGLJpb4nSA,NaNa Thai Street,31 E 21st St,40.73954,-73.98854,185,4.5,10010
Q99VEcN9r1Qqmvnm5I03tw,WAU,434 Amsterdam Ave,40.78448,-73.97776,154,4.0,10024
q2s4Whjr3FUB8wB_KrMudw,PurpleThai,1204 Broadway,40.746322406761514,-73.98828702364186,52,4.0,10001
33ry5dmopDOElU7zf1Sn2w,Lan Larb Chiang Mai,227 Centre St,40.7199936,-73.9985428,275,4.0,10013
O8i5XlvcfzH1q-wpfURrpg,Ayada Thai - Chelsea Market,75 9th Ave,40.74268377235652,-74.00618912427079,229,4.5,10011
sinDhwX8Egru_3FCI7bhkw,Laut,15 E 17th St,40.73756,-73.9911,1462,3.5,10003
ZlUU_DPlJTBLyUpBL2niKw,Luscious Thai,1099 1st Ave,40.76047,-73.96157,264,4.0,10065
e64Y17DJgjotSz8B9gEI7Q,Ugly Baby,407 Smith St,40.67795,-73.9961,422,4.5,11231
AybQUv47u16bwg83kqNf5w,Wan Wan,209 Mulberry St,40.7218,-73.99643,68,4.5,10012
0L03onqNwxWLrbb_FCK79A,SriPraPhai Thai Restaurant,64-13 39th Ave,40.7464987,-73.8992328,2516,4.0,11377
CpY77cDN1KS5EdiXMmWovw,House of Thai,2501 40th Ave,40.7535257695712,-73.9377629319284,349,4.0,11101
9b_FvTUgkkUUMyL0nGhFtg,Three Roosters,792 9th Ave,40.764957,-73.987485,209,4.5,10019
7PrDtZmAmasvCH41NO1Jpw,Kati Shop,104 W 37th St,40.75182181631158,-73.9869346,40,5.0,10018
jg5nc64wLYKwKAvz_lfMuA,Thai At Lex,1244 Lexington Ave,40.778142,-73.956807,236,3.5,10028
wEawMdWT7UtZjEmmMTBiGA,Saranrom Thai,8110 Broadway,40.743164864644704,-73.88364848055883,121,4.5,11373
pvxX-nvg3o-eZDlvrtYhQQ,Spice Thai,1479 1st Ave,40.771212,-73.953786,31,4.0,10075
EbX_9tqAJs4gW51gZpOB7g,Rasa,25 W 8th St,40.7327654,-73.9975674,834,4.0,10011
XlCaR9Q3fW37uhWuCx92mQ,When In Bangkok,161-16 Northern Blvd,40.76215,-73.80427,206,4.5,11358
1ctLdRJjP9m5QdL7ruYAzA,Herbs Thai Bistro,251 E 45th St,40.75193,-73.97099,216,3.5,10017
a23bfZBVjIhV32Em4hKHAA,The Buffs,1313 40th Ave,40.7556342,-73.9417121,201,4.5,11101
cegA4jf16vEt7NCQ7cpu2w,Kin'd,192-03 Union Tpke,40.73025559436381,-73.7784138,1137,4.5,11366
rCtsqHtOAOjZ7EUQDFRSbA,Pinto Garden,117 W 10th St,40.734882,-73.9994844,430,4.0,10011
F8WAp6PLIhM_0mNbVTsSzg,Bangkok Degree,847 Union St,40.67472327190444,-73.9757981977286,95,4.5,11215
Cebmp5-kEcdb4dBPrMKkWg,MayRee,58 E 1st St,40.72374,-73.9893,23,5.0,10003
qfZFjUnekCQRvZaZJkOPog,Aiyara Thai,480 9th Ave,40.7550734744,-73.9948672056,112,4.0,10018
uVoFnGvcwk2wSNwATtuf8g,Thai Hot Box,1598 3rd Ave,40.78123,-73.95246,78,4.5,10128
v5YA6gFdj1jwTpz0Kjpjqw,Krua,1764 1st Ave,40.78034,-73.94663,101,4.5,10128
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,40 W 56th St,40.76292,-73.976546,806,4.5,10019
yQiII2hHgV5aEMtIA2VG0Q,Chai Thai Kitchen,930 8th Ave,40.76541,-73.98352,648,3.5,10019
mpD_kUFo8POQDLoLgRSfCg,SAGE,299-301 Graham Ave,40.7129736,-73.9442765,678,3.5,11211
p2zm0HnXZkI2yCAuYLb45g,Thai Market,960 Amsterdam Ave,40.80132,-73.96529,1090,4.0,10025
g7qtHQ_121mYWUdu3VWlrA,Tong,321 Starr St,40.70788411187043,-73.92058168413449,124,4.5,11237
fRO4Fwe5uRAajMcTwLbVkA,Ayada Thai,77-08 Woodside Ave,40.74344034310768,-73.88762803704094,1360,4.0,11373
xJuKTbInUnTsLINLLH8ehw,KRU,190 N 14th St,40.72281573696329,-73.9557975,26,4.5,11249
iUEvASoukxI6vrCYWYyK8g,Kati Shop,162 E 55th St,40.75899,-73.96883,198,4.5,10022
nxTEuWKzkK1tCF4LrhFSUQ,Pig and Khao,68 Clinton St,40.71926,-73.98475,1851,4.0,10002
P8xz4EdZnNeIOIlcD4k_kg,Malinee Thai,2028 2nd Ave,40.789403,-73.942934,2,4.5,10029
AekKkXTaCXlYp95KrxlesA,Little Tiffin,970 Manhattan Ave,40.732257609566,-73.9543802663684,58,4.5,11222
SkD3MrsLIT1Wq-7eTIE-mQ,Ros Niyom Thai Restaurant,10-91 Jackson Ave,40.7432122,-73.951706,19,4.5,11101
qLxTIOZSOBx3gkkOlPJJfQ,Tam Sang Thai Kitchen,230 7th Ave,40.744528,-73.995674,3,4.5,10011
IZpSGcy19JDDEyJtq-vAXQ,Ricepot Thai Cookhouse,1972 86th St,40.60474,-73.99879,93,4.5,11214
BKMCAYb9EAivUm3p-vrC9w,Khe-Yo,157 Duane St,40.716906,-74.008587,940,4.0,10013
ASOtb5PU_Swpl4IarYX-yw,Two Wheels,672 Lexington Ave,40.76016,-73.96983,8,3.5,10022
ykf5siP-2CXY3leFbeeabQ,An'Nam,234 W 48th St,40.7605285644531,-73.9863891601562,362,4.0,10036
hA5QUlrSjpxMZ90Kof0bgA,Khao Kang,7620 Woodside Ave,40.743269,-73.888039,270,4.0,11373
wyjtGsW5NeVDknGQWnIPAQ,wagamama - midtown,100 W 55th St,40.76316041296893,-73.97885444091449,274,4.5,10019
d8lAkqk2w3Lp9uiI4svu6w,Thai Chella,712 9th Ave,40.76256,-73.98941,111,4.0,10019
er4E7VCjDo0xE_IPu5o6Ig,Pongsri Thai Restaurant,244 W 48th St,40.76071,-73.98652,548,3.5,10036
Xx2qNh0pfoDlXloiv_hRDA,Khao Thai Cuisine,4 E Palisade Ave,40.893829,-73.975063,8,4.5,07631
ODJmiHFJoUuXJVlxGSX7Yw,Forever Thai,1031 Flushing Ave,40.7039938,-73.9310911,101,4.5,11237
nFszVPUX4tj-oarjfBO0nw,Klong,7 St Marks Pl,40.729507,-73.989181,1214,4.0,10003
5HQGOq8NA9Pe5kNhVA4hMA,Plue,1575 Lexington Ave,40.788825,-73.948474,1,5.0,10029
EjuI8hyZO4jREWj3BTh8gw,Mr Khao Man Gai,,40.74606,-73.94842,37,5.0,11101
Tmc90kL5jelJ2c9CiGzSFA,Hi-So Thai,1903 Willow Ave,40.7602267,-74.027825,292,4.0,07086
GQRNgvRLY6OhPs8BYTTYUw,A Plus Thai Place,1007 2nd Ave,40.757059,-73.967248,225,3.5,10022
_zRVdCfUcx1cwseFycSQdQ,Thai Farm Kitchen - Brooklyn,416 Church Ave,40.644041754256,-73.9760518446565,329,4.5,11218
jfnDwWBGK4JoWE5jbeKxSw,Chu Ros Thai,1590 Lexington Ave,40.78922,-73.94873,171,4.5,10029
dVR5KHPMZoU9rQvxhY5Otw,Thai Terminal,349 E 12th St,40.73039,-73.98381,614,4.0,10003
9IT7UsL-SGEz6ncR4oeJ9g,Tam Sang Thai Kitchen,331 Lexington Ave,40.74939,-73.97738,138,3.5,10016
R7mKCkD9ZZfeec92GW7esQ,Bangkok 2 Thai,349 1st Ave,40.7352413982153,-73.9798079431057,217,4.0,10010
STx4mlpKJVrjd6eZu4yDIw,Heng Thai,23-06 Jackson Ave,40.74491469312005,-73.94774386999885,37,4.0,11101
3VlnrxKnGKtVMBj8skQmKQ,Secret Thai Street Food,30-72 Steinway St,40.762189,-73.91668423297732,5,5.0,11103
UkA3V8itzKuBGZ9c7y989w,Jaiya,396 3rd Ave,40.742179,-73.980915,881,3.5,10016
toykv8K0yg8qtvZSXRQ5bg,Pochana Thai Kitchen,33-16 30th Ave,40.765733,-73.91932,262,4.0,11103
7hyQqnnAisSL-nfIWCPziQ,Chop Shop,254 10th Ave,40.7486687,-74.0031128,265,4.0,10001
7lhmzhkct9-blnuBAp_HVQ,Five Stars Thai Restaurant,324 29th St,40.770244549496475,-74.0288150168948,460,4.0,07087
ihBRikaKYVdJ7M0gVEGjZg,Mao Mao,1000 Bdwy,40.69583,-73.933508,76,4.0,11221
qnD3XDvYIrFh_FppNH90cA,Thais New York,1750 2nd Ave,40.7812989957846,-73.9494738355279,163,4.0,10128
Swjm9no7DRqhThLlf0EHng,Sama Street,988 Manhattan Ave,40.7328843,-73.9545232327229,168,5.0,11222
1uuxUq-QrUYX-Zal9TvFFQ,Charm Thai Express,1346 Amsterdam Ave,40.8139028640919,-73.9561226963997,105,4.0,10027
2AcDHuatOFXhqJDedZwGiA,Tung Thong Thai Restaurant,561 W 169th St,40.8414062274416,-73.9386532729438,323,3.5,10032
HLDKZXsi7TQ0P3rS2wd-UQ,SEAK,725 River Rd,40.818223,-73.977102,732,4.0,07020
BaeUVrAj5f3YF1razW5bow,11 Tigers,225 Avenue B,40.72908,-73.97815,103,4.0,10009
eWSZHH4kfzS5NeNU1CMcyg,Amayar Kitchen,111 E Passaic St,40.90072880597357,-74.05832523553553,105,5.0,07607
7ztNVUAfAyJXQLGU9BkPiw,Topaz Thai Restaurant,137 Washington Ave,40.785764,-74.153591,508,4.0,07109
kA_Cw1YEGskuPuRYzLmgdQ,Aura Thai Kitchen,210 Main St,40.8510322570801,-73.9706878662109,157,3.0,07024
feY7PgoRjCp2qReaIitRkQ,Boran,462 Court St,40.6782327,-73.998062,254,4.5,11231
Kyx9QFPJUzlC7dmM8SE1bw,Jaiya,1553 2nd Ave,40.774506510521,-73.95444183340685,329,3.5,10075
XEjkmHzGOepziSvP2uK4Xw,Hey Thai,127 John St,40.70738902413635,-74.00523698907823,59,4.0,10038
1xJV03v3g3oP3G5oDlWuoQ,Di An Di,68 Greenpoint Ave,40.72969,-73.95827,314,4.0,11222
yCJHIM-PWl54K53ACOpoNg,Hug Esan,77-16 Woodside Ave,40.7436465,-73.8873753,224,4.5,11373
9UkHgv9R3LakP0vNj6DMIg,Charm Kao,193 Schermerhorn St,40.6892229764259,-73.9863216751898,90,4.5,11201
ebhDBwRzD--eoiYcO8M18g,Pho Thai Lao Kitchen,219 Maywood Ave,40.8956216750601,-74.0658308645348,358,4.0,07607
n61FbfvTddHBXF5WKWjF4g,Pad Thai Noodle Lounge,114 8th Ave,40.7408371121571,-74.00145524314277,344,3.5,10011
fcCF0Kh_RCbv6KSVlb-Seg,Sticky Rice,85 Orchard St,40.71798,-73.99042,418,4.0,10002
OR9oqAJW-U5ZnqhwH12Nuw,Khao Nom,42-06 77th St,40.7432731562959,-73.8879961885031,148,4.5,11373
1Z030QuMVjMvs2SWZ1zYTQ,Two Wheels,1382 2nd Ave,40.768152386167,-73.95856094841727,131,4.0,10021
T8WfkzuVi96qCpj1tWjlxw,Spice,39 E 13th St,40.7345,-73.9919,1628,3.5,10003
23NSOmpzzrJTfWmYk8Lp4A,Lovely Day,196 Elizabeth St,40.721774,-73.994275,390,3.5,10012
ZfN9F6-5htE8LGLZo31igQ,Thai Delight,175 3rd Ave,40.73479,-73.98587,20,4.5,10003
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,461 W 23rd St,40.74765439999999,-74.00352480000001,998,4.5,10011
4nwVzRCfWFGe6_Taqee4Cg,MRS AN,173 E 99th St,40.7874046,-73.9482732,132,4.0,10029
McU7XI3HoWFELTDaGc1SEw,Ginger and Lemongrass,153 Rivington St,40.71912,-73.98567,550,4.0,10002
6ZZUTGtH25tLN1SiM029ig,Yum Yum Too,662 9th Ave,40.76098,-73.99047,519,3.5,10036
qusZ-K5tzM1EyOa1IEWCHA,Nourish,637A Vanderbilt Ave,40.677941,-73.968455,354,4.0,11238
IiYRxMJLfLCsgifzRNvrtA,Thai Sliders & Co,150 8th Ave,40.7419442,-74.0007071,114,4.0,10011
LzyDj8z2CA03Jrs34L9Pgw,Spice,435 Amsterdam Ave,40.784263,-73.977252,335,3.0,10024
DEoUnmEnguWiwlDh3CFm1A,Thai Peppercorn,1406 Madison Ave,40.78821,-73.95363,79,3.0,10029
vZHrCNLcCh_3slkuNRW7GQ,IttEast,32 E 7th St,40.72821465492107,-73.98921267054533,6,5.0,10003
cPXF0NTHTHEdWLDwknWHXA,Huge Thai,157 Court St,40.68887,-73.99261,43,4.5,11201
jc_XQPbSCwMHsXLfinXA6A,Prince & I,80 Wayne St,40.7198,-74.04576,486,4.5,07302
xRvMOTMzDrMfyAWbYhkA8A,Terra Thai,518 E 6th St,40.724896,-73.983031,73,5.0,10009
tVB11pOiDhPWlt_o6ylMNg,Enthaice Thai Kitchen,33-20 31st Ave,40.7630889337809,-73.9213237166405,749,4.0,11106
liGIz8CzhyS1udx1aefjng,Williamsburg Thai Cuisine,212 Bedford Ave,40.71699,-73.9588799,276,4.0,11249
7Qvh0oFRsoqrO9qNlcMKXQ,Saigon Shack,114 Macdougal St,40.72969,-74.000629,2650,4.0,10012
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,40.719116974367,-73.9968322948353,2324,4.0,10013
wbDtb47idIoDkzOMX8uEkA,Thaimee Love,116 West Houston,40.727805192166834,-74.00086038258787,43,3.5,10012
S2b4gAh3Sr1sbNGaTna1Xw,Bangkok Garden Thai Restaurant,261 Main St,40.8865743,-74.041739,437,4.0,07601
1KoKR9fug8VXZr5tqqtimQ,Rim Nam Thai,52 Jay St,40.7033674860089,-73.9868891,25,4.0,11201
Y4eqn5D2Emukncw1A3K8Wg,Areena Thai Cuisine,312 Hackensack St,40.83633,-74.09243,49,4.5,07072
l_gQf_4NgPMJcx2OkjsMfg,Noods n’ Chill,170 S 3rd St,40.71194,-73.96121,132,4.0,11211
B9_TgZa8rgW5oZOtXZUMCw,Laut Singapura,31 E 20th St,40.738584506222814,-73.98812157116433,356,4.0,10003
Irs8IQdQMXRxnWTDiQXKyA,Plum Vietnamese Restaurant,210 W 94th St,40.793008077554795,-73.97215002658557,76,4.5,10025
4yKYc9ngosSJ7Lk2LJE4ug,Eagle Thai Cuisine,644 Anderson Ave,40.825912,-73.987172,44,4.0,07010
sljnE3uoRUmM7aW5f1I3Ug,Once More Thai,6 Clinton St,40.72103,-73.98381,277,3.5,10002
LIsCe_l7kUlv2cUs6AxNQQ,SUROSS Thai Bistro,4131 Broadway,40.846016,-73.9387367,268,4.5,10033
XixegGx6pdU_H0MWWqN1_w,GAI Chicken & Rice,158 E 45th St,40.75279329265176,-73.97345292209359,169,4.0,10017
kXuubLd6s3GidpqU3psPdw,Chao Thai,8503 Whitney Ave,40.7414656,-73.8801273,407,4.0,11373
jKDXlyPG-2rmcp9Ej6jPLA,Living Thai,931 Amsterdam Ave,40.8001,-73.96574,146,4.0,10025
1Fe4lCiMPNVhoEyjg92frA,Kati Thai Cuisine,347 E 14th St,40.7318077087402,-73.98291015625,260,4.0,10003
4mzogOLOVDPBDVTO4cz9fA,Roi Siam,1814 Bergenline Ave,40.76397,-74.03454,169,4.0,07087
Pr-q47vsmM4aoc2t_Sfk8w,Momofuku Noodle Bar - Uptown,10 Columbus Cir,40.76802583631109,-73.9829243,515,4.0,10019
oO_X1H5Lxo8sNykx6azLVQ,Thai Super,166 E 118th St,40.799358,-73.939726,197,3.5,10035
Q23LvHPuC9ajSbMEt8xoUw,Lucky Cat,232 E 53rd St,40.7570162692229,-73.9681779883895,417,4.0,10022
YDZX2bJ1IyV0lunBYqbb4w,New Chinatown  Asian Cuisine/ Bar,1650 3rd Ave,40.782945,-73.95132,4,4.5,10128
n20BmzZ-KGd0RCKcPGRv1A,Klom Klorm,181 Wyckoff Ave,40.70318,-73.91701,447,4.5,11237
yzbIUIeDuSH58WgK32J7Fw,Thonglor Thai Formerly Red Basil Thai,3247 Steinway St,40.7574712,-73.9200032,49,4.0,11103
h0pRCiJDrCN7tm3VX5tILQ,CHILI,13 E 37th St,40.75002,-73.98215,582,4.5,10016
a5H9p1B6m6WPVjakPylvdA,Spicy Shallot,7701 Woodside Ave,40.7437053273707,-73.8878916857991,726,4.0,11373
W9t_RWcisBoXMS0iAl7frQ,Thai Shack,445 Cedar Ln,40.889147,-74.0215578,60,4.5,07666
PHu2RLIMZix9W4Uc-FS1fg,Eatzy Thai,33-09 Broadway,40.761214,-73.92328,67,3.5,11106
RdGWCbcxA79G1ZMPVL3SGQ,Nora Thai,176 N 9th St,40.71864,-73.95625,130,3.5,11211
KXD44wWmrGf7mzyyr0bikw,P.S. Kitchen,246 W 48th St,40.760706,-73.986627,665,4.5,10036
s-UAKra4P0sFE9ylXlwwfA,Le Viet Cafe,1750 2nd Ave,40.78116,-73.94913,152,4.0,10128
s5JNxy0eAFgxS2Poi73ODw,Mala Project,41 W 46th St,40.756899,-73.980586,499,4.0,10036
9WgsvzaiXNAmmQGD0uQxFQ,Thai Holic,372 Myrtle Ave,40.693005,-73.971286,538,4.5,11205
m2Zsy2UAkcDf0cRzk2Yoqw,Madame Vo,212 E 10th St,40.72925,-73.98612,1035,4.0,10003
AEHojbCPCrIhTko7olaqTg,Lil Chef Mama,27 Cliff St,40.708453,-74.005321,115,4.5,10038
e1jwvzY8hU642HSBZZATcw,Hub Thai,50 Avenue A,40.7238123,-73.9847935,163,4.0,10009
0GftSP2dRwEzujkv2VKIgA,Wok Wok Southeast Asian Kitchen,11 Mott St,40.7140555,-73.9988387116394,1157,4.0,10013
TU_BU9HLflYI2xlyqVQdRA,TAO Uptown,42 E 58th St,40.76266943713004,-73.97144107883544,2861,3.5,10022
Xst2vGND8hy44VOmbLG3kQ,Pa De Thai Restaurant,264 Old River Rd,40.80957,-73.990735,314,3.5,07020
jiQMBtFQ0nY1hv3vRPM66w,The Nuaa Table,638 Bergen St,40.679366,-73.968485,71,4.5,11238
tx-gxkns4uFyve7Eu5mYKA,Tana Thai,1890 Eastchester Rd,40.8513635,-73.8439993,216,3.0,10461
qtDKasElRD_CPw7HnIOXHA,Island Thai Street Food,,40.758373260498,-73.9680099487305,1,4.0,10022
Z7uV9jqrj9GkSws1cz06cg,Grub Thai,34 Lexington Ave,40.740072,-73.98461,5,4.0,10010
MD-GiizNpmFbuDIdKGzXnA,Mekong,917 Columbus Ave,40.7984,-73.96326,79,4.0,10025
